"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2017","45.88","45.88","45.88","45.88","","-2.40%"
"07/06/2017","47.01","47.01","47.01","47.01","","0.45%"
"07/05/2017","46.80","46.80","46.80","46.80","","-3.58%"
"07/03/2017","48.54","48.54","48.54","48.54","","4.45%"
"06/30/2017","46.47","46.47","46.47","46.47","","0.00%"
"06/29/2017","46.47","46.47","46.47","46.47","","0.04%"
"06/28/2017","46.45","46.45","46.45","46.45","0.15K","0.13%"
"06/27/2017","46.39","46.39","46.39","46.39","","0.30%"
"06/26/2017","46.25","46.25","46.25","46.25","","0.13%"
"06/23/2017","46.19","46.19","46.19","46.19","","0.20%"
"06/22/2017","46.10","46.10","46.10","46.10","","0.24%"
"06/21/2017","45.99","45.99","45.99","45.99","","-0.69%"
"06/20/2017","46.31","46.31","46.31","46.31","","-0.52%"
"06/19/2017","46.55","46.55","46.55","46.55","","-0.39%"
"06/16/2017","46.73","46.73","46.73","46.73","","0.30%"
"06/15/2017","46.59","46.59","46.59","46.59","","-0.21%"
"06/14/2017","46.69","46.69","46.69","46.69","","-2.08%"
"06/13/2017","47.68","47.68","47.68","47.68","","0.42%"
"06/12/2017","47.48","47.48","47.48","47.48","","0.21%"
"06/09/2017","47.38","47.38","47.38","47.38","","0.55%"
"06/08/2017","47.12","47.12","47.12","47.12","","-0.13%"
"06/07/2017","47.18","47.18","47.18","47.18","","-3.24%"
"06/06/2017","48.76","48.76","48.76","48.76","","1.06%"
"06/05/2017","48.25","48.25","48.25","48.25","","-1.05%"
"06/02/2017","48.76","48.76","48.76","48.76","","-1.44%"
"06/01/2017","49.47","49.47","49.47","49.47","","-2.12%"
"05/31/2017","50.54","50.54","50.54","50.54","","-0.08%"
"05/30/2017","50.58","50.58","50.58","50.58","","-0.02%"
"05/26/2017","50.59","50.59","50.59","50.59","","0.18%"
"05/25/2017","50.50","50.50","50.50","50.50","","-0.94%"
"05/24/2017","50.98","50.98","50.98","50.98","","-0.14%"
"05/23/2017","51.05","51.05","51.05","51.05","","0.24%"
"05/22/2017","50.93","50.93","50.93","50.93","","0.12%"
"05/19/2017","50.87","50.87","50.87","50.87","","0.79%"
"05/18/2017","50.47","50.47","50.47","50.47","","0.24%"
"05/17/2017","50.35","50.35","50.35","50.35","","0.62%"
"05/16/2017","50.04","50.04","50.04","50.04","","0.00%"
"05/15/2017","50.04","50.04","50.04","50.04","","1.09%"
"05/12/2017","49.50","49.50","49.50","49.50","","0.04%"
"05/11/2017","49.48","49.48","49.48","49.48","0.20K","0.65%"
"05/10/2017","49.16","49.16","49.16","49.16","","2.20%"
"05/09/2017","48.10","48.10","48.10","48.10","","-0.91%"
"05/08/2017","48.54","48.54","48.54","48.54","","0.41%"
"05/05/2017","48.34","48.34","48.34","48.34","","1.41%"
"05/04/2017","47.67","47.67","47.67","47.67","","-4.16%"
"05/03/2017","49.74","49.74","49.74","49.74","","0.89%"
"05/02/2017","49.30","49.30","49.30","49.30","","-2.74%"
"05/01/2017","50.69","50.69","50.69","50.69","","-3.06%"
"04/28/2017","52.29","52.29","52.29","52.29","","-0.04%"
"04/27/2017","52.31","52.31","52.31","52.31","","-0.08%"
"04/26/2017","52.35","52.35","52.35","52.35","","-0.04%"
"04/25/2017","52.37","52.37","52.37","52.37","","0.11%"
"04/24/2017","52.31","52.31","52.31","52.31","","-0.02%"
"04/21/2017","52.32","52.32","52.32","52.32","","-0.48%"
"04/20/2017","52.57","52.57","52.57","52.57","","0.15%"
"04/19/2017","52.49","52.49","52.49","52.49","","-1.32%"
"04/18/2017","53.19","53.19","53.19","53.19","","-0.45%"
"04/17/2017","53.43","53.43","53.43","53.43","0.10K","-0.56%"
"04/13/2017","53.73","53.73","53.73","53.73","","0.04%"
"04/12/2017","53.71","53.71","53.71","53.71","","-0.68%"
"04/11/2017","54.08","54.08","54.08","54.08","","0.46%"
"04/10/2017","53.83","53.83","53.83","53.83","","1.09%"
"04/07/2017","53.25","53.25","53.25","53.25","","0.62%"
"04/06/2017","52.92","52.92","52.92","52.92","","0.80%"
"04/05/2017","52.50","52.50","52.50","52.50","","0.59%"
"04/04/2017","52.19","52.19","52.19","52.19","","1.64%"
"04/03/2017","51.35","51.35","51.35","51.35","","0.29%"
"03/31/2017","51.20","51.20","51.20","51.20","","-0.06%"
"03/30/2017","51.23","51.23","51.23","51.23","","0.06%"
"03/29/2017","51.20","51.20","51.20","51.20","","0.23%"
"03/28/2017","51.08","51.08","51.08","51.08","","0.14%"
"03/27/2017","51.01","51.01","51.01","51.01","","-0.02%"
"03/24/2017","51.02","51.02","51.02","51.02","","0.12%"
"03/23/2017","50.96","50.96","50.96","50.96","","-0.16%"
"03/22/2017","51.04","51.04","51.04","51.04","","-0.10%"
"03/21/2017","51.09","51.09","51.09","51.09","","-0.45%"
"03/20/2017","51.32","51.32","51.32","51.32","","-0.12%"
"03/17/2017","51.38","51.38","51.38","51.38","","-0.04%"
"03/16/2017","51.40","51.40","51.40","51.40","","0.04%"
"03/15/2017","51.38","51.38","51.38","51.38","","0.82%"
"03/14/2017","50.96","50.96","50.96","50.96","","-0.76%"
"03/13/2017","51.35","51.35","51.35","51.35","","-0.04%"
"03/10/2017","51.37","51.37","51.37","51.37","","-0.85%"
"03/09/2017","51.81","51.81","51.81","51.81","","-0.84%"
"03/08/2017","52.25","52.25","52.25","52.25","","-3.79%"
"03/07/2017","54.31","54.31","54.31","54.31","","-0.02%"
"03/06/2017","54.32","54.32","54.32","54.32","","-0.06%"
"03/03/2017","54.35","54.35","54.35","54.35","","0.91%"
"03/02/2017","53.86","53.86","53.86","53.86","","-1.98%"
